CalanderWeekNum_Updated,# DOC orders Pending Layer,# DOC Orders Fully Paid Layer,# DOCs Delivered Layer,Layer Pipeline (Calculation),Waiting Time Layer (days) - Actual,YoY Comparison of Orders last 4 weeks Layer,% agents receiving within 14 days layer,# DOC orders from returning agents Layer,# DOC orders from new agents Layer
2026-Week-01,0,847773,32450,1885912,152.84615384615384,649%,0,561823,285950
2026-Week-02,0,301400,65335,2121977,74.18181818181819,941%,0,214551,86849
2026-Week-03,0,131714,70040,2183651,11.785714285714286,998%,0,112686,19028
2026-Week-04,0,77561,72800,2188412,56.44444444444444,1133%,0,46666,30895
2026-Week-05,0,76620,69982,2195050,33.95744680851064,139%,0,69620,7000
2026-Week-06,0,13000,70402,2137648,32.28,-2%,0,13000,0
2026-Week-07,52,27013,71188,2093473,36.416666666666664,-47%,0,20013,7000
2026-Week-08,0,516,70578,2023411,54.03703703703704,-78%,0,516,0
2026-Week-09,0,94913,63373,2054951,70.77272727272727,-77%,0,81913,13000
2026-Week-10,41,1646,68000,1988597,82.41176470588235,-83%,0,1646,0
2026-Week-11,0,40000,67335,1961262,66.11764705882354,-80%,0,,40000
2026-Week-12,26,18048,79324,1899986,68.32,-72%,0,,18048
2026-Week-13,0,32646,61429,1871203,102.16279069767442,-83%,0,4146,28500
2026-Week-14,0,24009,72814,1822398,109.91836734693878,-73%,0,18009,6000
2026-Week-15,125704,5000,66178,1761220,86.39024390243902,-80%,0,5000,0
2026-Week-16,500,1345164,68697,3037687,80.45833333333333,273%,0,836629,508535
2026-Week-17,32,45006,62300,3020393,95.71428571428571,267%,0,33609,11397
2026-Week-18,0,,40771,2979622,72.6,228%,0,,0
2026-Week-19,0,,,2979622,,203%,0,,0
2026-Week-20,0,,,2979622,,-92%,0,,0
2026-Week-21,0,,,2979622,,-100%,0,,0
2026-Week-22,0,,,2979622,,-100%,0,,0
2026-Week-23,0,,,2979622,,-100%,0,,0
2026-Week-24,0,,,2979622,,-100%,0,,0
2026-Week-25,0,,,2979622,,-100%,0,,0
2026-Week-26,0,,,2979622,,-100%,0,,0
2026-Week-27,0,,,2979622,,-100%,0,,0
2026-Week-28,0,,,2979622,,-100%,0,,0
2026-Week-29,0,,,2979622,,-100%,0,,0
2026-Week-30,0,,,2979622,,-100%,0,,0
2026-Week-31,0,,,2979622,,-100%,0,,0
2026-Week-32,0,,,2979622,,-100%,0,,0
2026-Week-33,0,,,2979622,,-100%,0,,0
2026-Week-34,0,,,2979622,,-100%,0,,0
2026-Week-35,0,,,2979622,,-100%,0,,0
2026-Week-36,0,,,2979622,,-100%,0,,0
2026-Week-37,0,,,2979622,,-100%,0,,0
2026-Week-38,0,,,2979622,,-100%,0,,0
2026-Week-39,0,,,2979622,,-100%,0,,0
2026-Week-40,0,,,2979622,,-100%,0,,0
2026-Week-41,0,,,2979622,,-100%,0,,0
2026-Week-42,0,,,2979622,,-100%,0,,0
2026-Week-43,0,,,2979622,,-100%,0,,0
2026-Week-44,0,,,2979622,,-100%,0,,0
2026-Week-45,0,,,2979622,,-100%,0,,0
2026-Week-46,0,,,2979622,,-100%,0,,0
2026-Week-47,0,,,2979622,,-100%,0,,0
2026-Week-48,0,,,2979622,,-100%,0,,0
2026-Week-49,0,,,2979622,,-100%,0,,0
2026-Week-50,0,,,2979622,,-100%,0,,0
2026-Week-51,0,,,2979622,,-100%,0,,0
2026-Week-52,0,,,2979622,,-100%,0,,0
2026-Week-53,0,,,2979622,,-100%,0,,0
